22.90,966.23,71.81,66.03,399.04,"9/13/2022, 04:21:21"
22.89,966.23,71.92,66.24,398.96,"9/13/2022, 04:21:24"
22.88,966.24,72.04,66.34,398.96,"9/13/2022, 04:21:28"
22.88,966.23,72.13,66.39,398.96,"9/13/2022, 04:21:32"
22.87,966.23,72.17,66.54,398.96,"9/13/2022, 04:21:35"
22.86,966.23,72.20,66.65,398.96,"9/13/2022, 04:21:39"
22.85,966.23,72.27,66.70,398.96,"9/13/2022, 04:21:43"
22.87,966.23,72.30,66.60,398.96,"9/13/2022, 04:21:46"
22.87,966.23,72.28,66.54,398.96,"9/13/2022, 04:21:50"
22.86,966.24,72.26,66.81,398.96,"9/13/2022, 04:21:54"
22.86,966.23,72.27,66.65,399.04,"9/13/2022, 04:21:57"
22.86,966.22,72.32,66.75,399.04,"9/13/2022, 04:22:01"
22.86,966.22,72.34,66.70,399.04,"9/13/2022, 04:22:05"
22.85,966.22,72.37,66.49,399.13,"9/13/2022, 04:22:09"
22.85,966.22,72.42,66.75,399.04,"9/13/2022, 04:22:12"
22.84,966.23,72.44,66.60,399.04,"9/13/2022, 04:22:16"
22.84,966.22,72.52,66.49,399.04,"9/13/2022, 04:22:20"
22.84,966.22,72.52,66.54,399.13,"9/13/2022, 04:22:23"
22.83,966.22,72.55,66.81,399.22,"9/13/2022, 04:22:27"
22.83,966.21,72.52,66.65,399.22,"9/13/2022, 04:22:31"
22.82,966.21,72.52,66.96,399.13,"9/13/2022, 04:22:34"
22.82,966.21,72.54,66.54,399.22,"9/13/2022, 04:22:38"
22.82,966.21,72.52,66.39,399.30,"9/13/2022, 04:22:42"
22.83,966.20,72.51,66.70,399.22,"9/13/2022, 04:22:45"
22.83,966.20,72.46,66.70,399.22,"9/13/2022, 04:22:49"
22.83,966.21,72.46,67.01,399.13,"9/13/2022, 04:22:53"
22.83,966.21,72.45,66.96,399.22,"9/13/2022, 04:22:56"
22.82,966.20,72.45,66.65,399.22,"9/13/2022, 04:23:00"
22.82,966.20,72.45,66.75,399.30,"9/13/2022, 04:23:04"
22.82,966.20,72.48,67.12,399.22,"9/13/2022, 04:23:07"
22.82,966.20,72.50,66.96,399.22,"9/13/2022, 04:23:11"
22.82,966.20,72.54,66.91,399.22,"9/13/2022, 04:23:15"
22.82,966.21,72.56,67.07,399.22,"9/13/2022, 04:23:19"
22.82,966.20,72.58,66.91,399.22,"9/13/2022, 04:23:22"
22.82,966.21,72.58,67.44,399.22,"9/13/2022, 04:23:26"
22.83,966.21,72.55,67.33,399.22,"9/13/2022, 04:23:30"
22.84,966.20,72.53,66.96,399.30,"9/13/2022, 04:23:33"
22.86,966.20,72.50,67.17,399.30,"9/13/2022, 04:23:37"
22.86,966.20,72.48,67.39,399.22,"9/13/2022, 04:23:41"
22.88,966.20,72.43,67.33,399.22,"9/13/2022, 04:23:44"
22.89,966.21,72.38,67.12,399.13,"9/13/2022, 04:23:48"
22.90,966.22,72.34,67.28,399.13,"9/13/2022, 04:23:52"
22.91,966.22,72.32,66.81,399.04,"9/13/2022, 04:23:55"
22.93,966.22,72.31,66.81,399.13,"9/13/2022, 04:23:59"
22.94,966.22,72.28,67.01,399.13,"9/13/2022, 04:24:03"
22.95,966.21,72.28,66.86,399.13,"9/13/2022, 04:24:06"
22.95,966.21,72.26,66.81,399.22,"9/13/2022, 04:24:10"
22.96,966.21,72.27,67.17,399.13,"9/13/2022, 04:24:14"
22.96,966.21,72.24,67.12,399.22,"9/13/2022, 04:24:17"
22.96,966.21,72.21,66.96,399.22,"9/13/2022, 04:24:21"
22.98,966.20,72.20,66.96,399.22,"9/13/2022, 04:24:25"
23.00,966.20,72.15,66.96,399.22,"9/13/2022, 04:24:28"
23.03,966.21,72.07,66.75,399.13,"9/13/2022, 04:24:32"
23.05,966.21,71.95,66.91,399.13,"9/13/2022, 04:24:36"
23.06,966.21,71.92,66.86,399.04,"9/13/2022, 04:24:40"
23.07,966.21,71.84,66.70,399.04,"9/13/2022, 04:24:43"
23.08,966.21,71.73,67.01,399.13,"9/13/2022, 04:24:47"
23.09,966.22,71.67,66.91,399.04,"9/13/2022, 04:24:51"
23.10,966.22,71.63,66.96,399.13,"9/13/2022, 04:24:54"
23.10,966.22,71.61,66.65,399.13,"9/13/2022, 04:24:58"
23.10,966.22,71.61,66.60,399.04,"9/13/2022, 04:25:02"
23.10,966.22,71.60,66.60,399.13,"9/13/2022, 04:25:05"
23.10,966.22,71.59,66.91,399.13,"9/13/2022, 04:25:09"
23.11,966.21,71.55,67.12,399.13,"9/13/2022, 04:25:13"
23.12,966.22,71.53,66.60,399.13,"9/13/2022, 04:25:16"
23.13,966.21,71.50,66.81,399.13,"9/13/2022, 04:25:20"
23.13,966.22,71.45,66.54,399.13,"9/13/2022, 04:25:24"
23.14,966.21,71.43,66.70,399.13,"9/13/2022, 04:25:27"
23.14,966.22,71.43,67.23,399.13,"9/13/2022, 04:25:31"
23.13,966.21,71.44,66.70,399.13,"9/13/2022, 04:25:35"
23.13,966.22,71.45,66.91,399.04,"9/13/2022, 04:25:38"
23.12,966.23,71.49,66.86,398.96,"9/13/2022, 04:25:42"
23.11,966.23,71.51,66.75,399.04,"9/13/2022, 04:25:46"
23.10,966.22,71.58,66.70,399.04,"9/13/2022, 04:25:49"
23.09,966.22,71.61,66.86,398.96,"9/13/2022, 04:25:53"
23.08,966.23,71.58,67.01,398.96,"9/13/2022, 04:25:57"
23.08,966.23,71.60,66.75,398.96,"9/13/2022, 04:26:01"
23.07,966.24,71.63,66.96,398.96,"9/13/2022, 04:26:04"
23.07,966.23,71.67,66.96,398.96,"9/13/2022, 04:26:08"
23.07,966.23,71.65,67.12,398.96,"9/13/2022, 04:26:12"
23.06,966.23,71.63,66.86,399.04,"9/13/2022, 04:26:15"
23.06,966.22,71.59,67.17,399.04,"9/13/2022, 04:26:19"
23.06,966.23,71.60,66.54,398.96,"9/13/2022, 04:26:23"
23.06,966.24,71.61,66.96,398.87,"9/13/2022, 04:26:26"
23.07,966.24,71.58,66.29,398.96,"9/13/2022, 04:26:30"
23.07,966.23,71.59,66.91,398.96,"9/13/2022, 04:26:34"
23.07,966.24,71.62,67.01,398.96,"9/13/2022, 04:26:37"
23.08,966.23,71.62,66.75,398.96,"9/13/2022, 04:26:41"
23.07,966.24,71.61,66.60,398.87,"9/13/2022, 04:26:45"
23.09,966.23,71.56,66.65,399.04,"9/13/2022, 04:26:48"
23.10,966.23,71.51,67.01,399.04,"9/13/2022, 04:26:52"
23.11,966.22,71.48,66.86,399.04,"9/13/2022, 04:26:56"
23.12,966.23,71.47,66.65,399.04,"9/13/2022, 04:26:59"
23.14,966.23,71.44,66.44,398.96,"9/13/2022, 04:27:03"
23.14,966.24,71.39,66.54,398.96,"9/13/2022, 04:27:07"
23.15,966.23,71.31,66.81,399.04,"9/13/2022, 04:27:10"
23.15,966.22,71.28,67.23,399.13,"9/13/2022, 04:27:14"
23.17,966.23,71.28,66.49,399.04,"9/13/2022, 04:27:18"
23.19,966.23,71.24,66.54,398.96,"9/13/2022, 04:27:22"
23.20,966.23,71.15,66.54,398.96,"9/13/2022, 04:27:25"
23.20,966.24,71.12,67.39,398.87,"9/13/2022, 04:27:29"
23.23,966.26,71.06,66.34,398.78,"9/13/2022, 04:27:33"
23.24,966.25,71.00,66.44,398.87,"9/13/2022, 04:27:36"
23.25,966.25,70.99,66.65,398.87,"9/13/2022, 04:27:40"
23.26,966.25,70.96,66.91,398.87,"9/13/2022, 04:27:44"
23.26,966.26,70.99,66.24,398.78,"9/13/2022, 04:27:47"
23.25,966.25,71.01,66.13,398.78,"9/13/2022, 04:27:51"
23.25,966.25,71.01,66.54,398.78,"9/13/2022, 04:27:55"
23.26,966.26,71.01,66.44,398.87,"9/13/2022, 04:27:58"
23.26,966.25,70.97,66.60,398.87,"9/13/2022, 04:28:02"
23.26,966.25,70.96,66.34,398.87,"9/13/2022, 04:28:06"
23.26,966.25,70.99,66.81,398.87,"9/13/2022, 04:28:09"
23.25,966.25,70.99,66.49,398.78,"9/13/2022, 04:28:13"
23.24,966.26,71.03,66.29,398.78,"9/13/2022, 04:28:17"
23.23,966.26,71.13,66.44,398.70,"9/13/2022, 04:28:20"
23.23,966.26,71.15,66.49,398.70,"9/13/2022, 04:28:24"
23.22,966.26,71.21,66.75,398.78,"9/13/2022, 04:28:28"
23.21,966.25,71.25,66.70,398.78,"9/13/2022, 04:28:31"
23.21,966.25,71.29,66.60,398.78,"9/13/2022, 04:28:35"
23.22,966.26,71.27,66.49,398.70,"9/13/2022, 04:28:39"
23.22,966.26,71.23,66.96,398.78,"9/13/2022, 04:28:43"
23.23,966.26,71.20,66.44,398.70,"9/13/2022, 04:28:46"
23.25,966.27,71.12,66.70,398.70,"9/13/2022, 04:28:50"
23.26,966.26,71.03,66.86,398.70,"9/13/2022, 04:28:54"
23.27,966.26,70.94,66.18,398.70,"9/13/2022, 04:28:57"
